Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
1979,   2180000,       7984,         198,         595,       1626,       5565,      70949,      21457,      45267,       4225,         366.2,           9.1,          27.3,          74.6,         255.3,       3254.5,         984.3,       2076.5,         193.8 
1980,   2284037,       7656,         210,         609,       1848,       4989,      79390,      25559,      49558,       4273,         335.2,           9.2,          26.7,          80.9,         218.4,       3475.9,       1119.0,       2169.8,         187.1 
1981,   2294000,       7119,         209,         577,       1776,       4557,      79972,      24732,      50959,       4281,         310.3,           9.1,          25.2,          77.4,         198.6,       3486.1,       1078.1,       2221.4,         186.6 
1982,   2291000,       7438,         187,         622,       1805,       4824,      81259,      24547,      52450,       4262,         324.7,           8.2,          27.1,          78.8,         210.6,       3546.9,       1071.5,       2289.4,         186.0 
1983,   2328000,       6930,         178,         586,       1614,       4552,      74563,      22380,      48140,       4043,         297.7,           7.6,          25.2,          69.3,         195.5,       3202.9,         961.3,       2067.9,         173.7 
1984,   2349000,       7549,         176,         697,       1587,       5089,      71554,      20810,      46807,       3937,         321.4,           7.5,          29.7,          67.6,         216.6,       3046.1,         885.9,       1992.6,         167.6 
1985,   2359000,       8199,         187,         686,       1617,       5709,      76372,      22207,      49957,       4208,         347.6,           7.9,          29.1,          68.5,         242.0,       3237.5,         941.4,       2117.7,         178.4 
1986,   2372000,       9365,         191,         686,       1890,       6598,      83729,      24429,      54677,       4623,         394.8,           8.1,          28.9,          79.7,         278.2,       3529.9,       1029.9,       2305.1,         194.9 
1987,   2388000,       9839,         182,         779,       1890,       6988,      91537,      25743,      60862,       4932,         412.0,           7.6,          32.6,          79.1,         292.6,       3833.2,       1078.0,       2548.7,         206.5 
1988,   2422000,      10237,         211,         780,       2037,       7209,      91962,      26443,      60363,       5156,         422.7,           8.7,          32.2,          84.1,         297.6,       3796.9,       1091.8,       2492.3,         212.9 
1989,   2406000,      11397,         203,         924,       2660,       7610,      98213,      28738,      63084,       6391,         473.7,           8.4,          38.4,         110.6,         316.3,       4082.0,       1194.4,       2621.9,         265.6 
1990,   2350725,      12511,         241,       1019,       2661,       8590,     101897,      28464,      66630,       6803,         532.2,          10.3,          43.3,         113.2,         365.4,       4334.7,       1210.9,       2834.4,         289.4 
1991,   2372000,      14072,         264,       1058,       3217,       9533,     108677,      29093,      71487,       8097,         593.3,          11.1,          44.6,         135.6,         401.9,       4581.7,       1226.5,       3013.8,         341.4 
1992,   2399000,      13831,         259,         990,       3011,       9571,     100402,      26214,      66288,       7900,         576.5,          10.8,          41.3,         125.5,         399.0,       4185.2,       1092.7,       2763.2,         329.3 
1993,   2424000,      14381,         247,       1028,       3027,      10079,     102231,      26646,      67767,       7818,         593.3,          10.2,          42.4,         124.9,         415.8,       4217.5,       1099.3,       2795.7,         322.5 
1994,   2453000,      14598,         294,       1028,       3158,      10118,     103115,      26911,      68478,       7726,         595.1,          12.0,          41.9,         128.7,         412.5,       4203.6,       1097.1,       2791.6,         315.0 
1995,   2484000,      13741,         259,         925,       3122,       9435,     102780,      24763,      69935,       8082,         553.2,          10.4,          37.2,         125.7,         379.8,       4137.7,         996.9,       2815.4,         325.4 
1996,   2510000,      13161,         219,       1046,       2864,       9032,     104790,      23925,      73010,       7855,         524.3,           8.7,          41.7,         114.1,         359.8,       4174.9,         953.2,       2908.8,         312.9 
1997,   2523000,      13293,         250,       1098,       2814,       9131,     105759,      25568,      72253,       7938,         526.9,           9.9,          43.5,         111.5,         361.9,       4191.8,       1013.4,       2863.8,         314.6 
1998,   2538000,      12442,         201,         893,       2442,       8906,      96271,      23559,      65525,       7187,         490.2,           7.9,          35.2,          96.2,         350.9,       3793.2,         928.3,       2581.8,         283.2 
1999,   2551373,      10848,         143,         710,       2024,       7971,      92283,      21692,      63927,       6664,         425.2,           5.6,          27.8,          79.3,         312.4,       3617.0,         850.2,       2505.6,         261.2 
2000,   2673400,      11904,         168,         848,       2001,       8887,      98115,      21443,      69740,       6932,         445.3,           6.3,          31.7,          74.8,         332.4,       3670.0,         802.1,       2608.7,         259.3 
2001,   2694698,      12190,         148,         892,       2181,       8969,      99106,      22196,      69590,       7320,         452.4,           5.5,          33.1,          80.9,         332.8,       3677.8,         823.7,       2582.5,         271.6 
2002,   2706268,      11501,         142,         754,       2524,       8081,     101171,      23229,      71129,       6813,         425.0,           5.2,          27.9,          93.3,         298.6,       3738.4,         858.3,       2628.3,         251.7 
2003,   2727774,      12449,         180,         911,       2227,       9131,      99084,      25016,      68061,       6007,         456.4,           6.6,          33.4,          81.6,         334.7,       3632.4,         917.1,       2495.1,         220.2 
2004,   2750000,      13814,         176,       1183,       2372,      10083,     110911,      30151,      74242,       6518,         502.3,           6.4,          43.0,          86.3,         366.7,       4033.1,       1096.4,       2699.7,         237.0 
2005,   2775708,      14670,         189,       1202,       2532,      10747,     112914,      30118,      75510,       7286,         528.0,           6.8,          43.3,          91.2,         387.2,       4068.0,       1085.1,       2720.0,         262.0 
2006,   2810872,      15538,         205,       1325,       2749,      11259,     112025,      31864,      72646,       7515,         552.8,           7.3,          47.1,          97.8,         400.6,       3985.4,       1133.6,       2584.5,         267.4 
2007,   2834797,      15226,         198,       1294,       3105,      10629,     112130,      32035,      73096,       6999,         537.1,           7.0,          45.6,         109.5,         374.9,       3955.5,       1130.1,       2578.5,         246.9 
2008,   2855390,      14649,         165,       1463,       2777,      10244,     110360,      33912,      69905,       6543,         513.0,           5.8,          51.2,          97.3,         358.8,       3865.0,       1187.6,       2448.2,         229.1 
2009,   2889450,      14905,         179,       1378,       2576,      10772,     109078,      34753,      68228,       6097,         515.8,           6.2,          47.7,          89.2,         372.8,       3775.0,       1202.8,       2361.3,         211.0 
2010,   2921588,      14711,         134,       1321,       2369,      10887,     103820,      32463,      65796,       5561,         503.5,           4.6,          45.2,          81.1,         372.6,       3553.5,       1111.1,       2252.1,         190.3 
2011,   2938582,      14173,         160,       1230,       2357,      10426,     110430,      34016,      70645,       5769,         482.3,           5.4,          41.9,          80.2,         354.8,       3757.9,       1157.6,       2404.1,         196.3 
2012,   2949131,      13835,         173,       1247,       2320,      10095,     107941,      31890,      70327,       5724,         469.1,           5.9,          42.3,          78.7,         342.3,       3660.1,       1081.3,       2384.7,         194.1 
